Date,Time,Start Time (ISO),Matchup,game_id,market,market_class,side,lookup_side,sim_prob,fair_odds,market_prob,market_fv,consensus_prob,pricing_method,books_used,model_edge,market_odds,ev_percent,blended_prob,blended_fv,hours_to_game,stake,cumulative_stake,entry_type,segment,segment_label,best_book,date_simulated,result
,,,,2025-06-04-TEX@TB,h2h,mainline,TEX,TEX ,0.543,-118.82,0.4301,,0.430144,devig,"pinnacle, betonlineag, fanduel, betmgm, draftkings, williamhill",0.1129,133,14.49,0.4914,103.51,11.37,2.72,,first,full_game,mainline,"{'fanduel': 120, 'sport888': 120, 'windcreek': 120, 'espnbet': 125, 'marathonbet': 131, 'fanatics': 125, 'onexbet': 133, 'unibet_eu': 125, 'betrivers': 125, 'winamax_fr': 110, 'ballybet': 125, 'betparx': 125, 'betmgm': 125, 'williamhill_us': 122, 'coolbet': 125, 'fliff': 120, 'draftkings': 124, 'hardrockbet': 125, 'williamhill': 125, 'matchbook': 126, 'lowvig': 127, 'betonlineag': 127, 'pinnacle': 127, 'bovada': 126, 'tipico_de': 120, 'betfair_ex_eu': 126, 'gtbets': 130, 'everygame': 133, 'betsson': 120, 'nordicbet': 122, 'betus': 126}",2025-06-04 8:13,Loss
,,,,2025-06-04-TEX@TB,team_totals,mainline,TEX Over 3.5,TEX Over 3.5,0.6295,-169.91,0.5556,,0.555605,devig,"pinnacle, betonlineag, draftkings",0.0739,-134,5.65,0.605,-153.17,11.16,1.89,,first,full_game,team_total,betrivers,2025-06-04 8:26,Win
,,,,2025-06-04-TEX@TB,totals_1st_5_innings,alternate,Under 3.5,Under 3.5,0.4263,134.58,0.3366,,0.336573,devig,"fanduel, betmgm, draftkings",0.0897,188,17.4,0.4076,145.32,10.99,1.155,,first,derivative,derivative,fanduel,2025-06-04 8:36,Loss
,,,,2025-06-05-ARI@ATL,spreads_1st_5_innings,alternate,ARI +1.5,ARI +1.5,0.7812,-357.04,0.6306,,0.630551,devig,"fanduel, betmgm, draftkings",0.1506,-180,7.46,0.6908,-223.43,3.33,1.68,,first,derivative,derivative,hardrockbet,2025-06-05 8:55,Loss
,,,,2025-06-05-BAL@SEA,h2h,mainline,BAL,BAL ,0.4916,103.42,0.4037,,0.403654,devig,"pinnacle, betonlineag, fanduel, betmgm, draftkings, williamhill, mybookieag",0.0879,150,9.71,0.4388,127.88,6.85,1.62,,first,full_game,mainline,"{'fanduel': 138, 'sport888': 140, 'betsson': 145, 'nordicbet': 138, 'betonlineag': 140, 'lowvig': 136, 'williamhill_us': 143, 'onexbet': 149, 'windcreek': 140, 'fanatics': 130, 'draftkings': 130, 'espnbet': 135, 'winamax_fr': 125, 'williamhill': 150, 'fliff': 145, 'gtbets': 137, 'mybookieag': 146, 'betmgm': 125, 'matchbook': 140, 'pinnacle': 147, 'bovada': 141, 'betparx': 140, 'ballybet': 140, 'betrivers': 140, 'marathonbet': 135, 'betanysports': 130, 'hardrockbet': 135, 'tipico_de': 130, 'everygame': 135, 'betfair_ex_eu': 140, 'coolbet': 145, 'betus': 137}",2025-06-05 8:50,Win
,,,,2025-06-05-BAL@SEA,spreads_1st_7_innings,alternate,BAL +1.5,BAL +1.5,0.7514,-302.25,0.5918,,0.591795,devig,"betmgm, draftkings",0.1596,-160,6.54,0.6556,-190.39,6.85,1.31,,first,derivative,derivative,draftkings,2025-06-05 8:50,Win
,,,,2025-06-05-BAL@SEA,team_totals,mainline,BAL Over 3.5,BAL Over 3.5,0.6157,-160.21,0.4639,,0.4639,devig,"pinnacle, betonlineag, fanduel, draftkings",0.1518,120,15.42,0.5246,-110.36,5.9,3.21,,first,full_game,team_total,ballybet,2025-06-05 9:46,Win
,,,,2025-06-05-CHC@WSH,spreads_1st_5_innings,alternate,CHC +0.5,CHC +0.5,0.7947,-387.09,0.6162,,0.616208,devig,"pinnacle, fanduel, betmgm, draftkings",0.1785,-180,16.34,0.7479,-296.65,10.27,3.67,,first,derivative,derivative,pinnacle,2025-06-05 8:29,Win
,,,,2025-06-05-CLE@NYY,totals_1st_5_innings,alternate,Under 3.5,Under 3.5,0.4662,114.5,0.3623,,0.362284,devig,"pinnacle, fanduel, betmgm, draftkings",0.1039,171,16.39,0.4295,132.84,9.41,1.2,,first,derivative,derivative,pinnacle,2025-06-05 9:41,Win
,,,,2025-06-05-HOU@PIT,h2h,mainline,PIT,PIT ,0.4592,117.77,0.4186,,0.418646,devig,"pinnacle, betonlineag, fanduel, betmgm, draftkings, williamhill",0.0406,145,7,0.4367,128.98,9.59,1.21,,first,full_game,mainline,"{'fanduel': 130, 'sport888': 125, 'betsson': 125, 'nordicbet': 118, 'lowvig': 129, 'betonlineag': 129, 'williamhill_us': 122, 'onexbet': 129, 'draftkings': 124, 'espnbet': 135, 'winamax_fr': 125, 'williamhill': 140, 'gtbets': 130, 'fliff': 130, 'betmgm': 120, 'windcreek': 131, 'fanatics': 125, 'matchbook': 128, 'pinnacle': 144, 'betus': 128, 'bovada': 138, 'betrivers': 135, 'betparx': 135, 'ballybet': 135, 'marathonbet': 121, 'hardrockbet': 125, 'tipico_de': 130, 'everygame': 145, 'betfair_ex_eu': 130, 'coolbet': 130}",2025-06-05 9:05,Loss
